review,sentiment
"I was excited to discover this late sixties comedy staring some of my favorite people - Maggie Smith, a very young Bob Newhart and, of course, Peter Ustinov. My disappointment was thus compounded to discover the film doesn't work as either a comedy or a perfect heist film. Ustinov plays a small time crook just out of prison who sets his sites on a large American corporation based in London. Bluffing his way past dimwitted CEO Karl Malden and tech geek Newhart, Ustinov passes himself off as a computer expert and immediately plans the 'perfect heist' part of the film. To do this he needs to get passed a tamper proof security system that guards the corporation mainframe. And here is problem one. His perfect plan only works because everyone else in the film is remarkably trusting and stupid. His lame excuses are taken at face value and this must be the only computer center anywhere not to bother with video cameras. The second problem is the heist (fraud really) happens within the first 30 minutes of the film robbing the rest of the picture of much in way of dramatic tension. Maggie Smith is sadly miscast as Ustinov's ditsy next door neighbor/secretary who just can't keep a job. I love Maggie Smith but she just seems too together here, too composed, the part called for more of a wacky, physical comedian. Furthermore, Ustinov and Smith have no chemistry together, maybe it's the age difference, but the later romantic relationship, as devoid of actual romance as it is, still comes off a little creepy. Ustinov co-wrote the script, and it was thought well of at the time, but I found it unfunny, meandering and a sad waste of a great cast.",negative
"Well you take O.J. Simpson as a all american soldier turned all american bus driver who decides to rescue his passengers on his own just incase no one else is going to and Arte Johnson in an absolutely straight role as the tour guide who doesn't know what to do but doesn't want to admit they are in trouble and combine it with Lorenzo Lamas as one of three baby faced bad boys who intend to kidnap an heiress and leave a busload of people to die on the dessert and you have got to have action, plot twists and a lot of drama. Everyone was good but seeing Lamas as the baddest of the bad boys really blew my mind. He was much too believable as the overbearing bad guy who not only wanted to kidnap the heiress but rape the women and humiliate the guy who tried to stop him. This was evidently long before he cultivated his good guy image. And believe me a 20 year old Lorenzo in tight jeans you really don't want to miss!",positive
"Quentin Tarantino's partner in crime Roger Avary (co-writer on ""Pulp Fiction"") ventures out on his own (Q.T. goes exec. prod. this time) for this over-boiled French thriller.<br /><br />Eric Stoltz is Zed, safe cracker extraordinaire who has drifted over to France from the U.S. at the request of an old friend. There he teams up with a motley crew of drugged out hippies who, with little or no planning, think they can knock off a bank vault full of gold bullion on a French national holiday.<br /><br />Avary has reworked the robbery gone wrong theme that Tarantino developed so well in ""Reservoir Dogs"", only ""Killing Zoe"" is not good enough to survive on the strength of this alone, so Avary has thrown in a rather beautiful distraction. Julie Delpy is Zoe, a student come call girl who entertains Zed on his arrival in Paris. A stunning distraction she certainly is, but nothing more.<br /><br />I guess our director wanted to add a different angle to this basic theme, but sadly the move did not help to add the depth his shallow plot so desperately needed. There was never a story in this idea, which was nothing more than that, an idea. Even the surreal journey into the seedy dives of Paris is uninspiring. I figure one would have to concede that there was never much of a movie in the story of a bunch of gangsters shooting each other up over a botched jewellery heist either, that is until you add intricate characters and snappy dialogue. ""Reservoir Dogs"" had it, ""Killing Zoe"" did not.<br /><br />Stoltz's strong interpretation of the doubtful Zed and Jean Hughes-Anglade's mad portrayal of the obsessive ring leader do nothing to lift proceedings. In short, Avary has unsuccessfully attempted to conjure entertainment out of nothing.<br /><br />Friday, September 15, 1995 - Astor Theatre",negative
"I'm hearing rumors of an upcoming ""Leonard Nimoy Demonstrates the Blu-ray Disc"". With advances over the past 25 years ranging from Steady-cam to CGI, it'll be interesting to see if the franchise can be reinvigorated. I just hope it helps to remove the bad taste left in my mouth by that whole Magnavision demonstration fiasco.<br /><br />And yes... ""Leonard Nimoy Demonstrates the Betamax VCR"" was a brilliant milestone in entertainment history. After the tentative ""Leonard Nimoy Demonstrates the Compact Cassette"" and the downright tacky ""Leonard Nimoy Demonstrates the 8-Track Tape"", who would have expected such a glorious piece of cinema? I'm weeping right now just thinking about it.",negative
"There is nothing unique in either the TV Series nor the Movie. Which is a prequel to the TV Show, that isn't found everywhere else in life and entertainment. Both before David Lynches disgusting style of story telling, and after. <br /><br />From the Moment the body of a poor misguided girl washed up on the beach. And being introduced to some of the most mind numbing shady immoral character of the Twin Peaks.<br /><br />To the Mind numbing almost pedophilia disgusting way the movie seems to romantically tell of the destruction of a Human Life through some random psychedelic phenomena in the Movie Twin Peak:Fire Come Walk with me. <br /><br />I watched it all just to make sure I wasn't missing anything. I didn't. It's is simply one mans obvious sexual fetish extended over long series fallowed by a ridiculous overly pornographic movie. Save your self the agony the suspense and watch anything else that at least has the ability to tell a story, rather then seduce you into some kind mental porn movie.<br /><br />I have heard a lot of reviews, rants and raves about how great David Lynch. Because of his ability to define misery and and tragedy and making it into some kind of a wonderful thing. This is not life imitating art, as much as it is some sick twisted version of art doing its best to inspire complete mindless life.<br /><br />Do yourself a favor and avoid this garbage.",negative
"Okay, you have:<br /><br />Penelope Keith as Miss Herringbone-Tweed, B.B.E. (Backbone of England.) She's killed off in the first scene - that's right, folks; this show has no backbone!<br /><br />Peter O'Toole as Ol' Colonel Cricket from The First War and now the emblazered Lord of the Manor.<br /><br />Joanna Lumley as the ensweatered Lady of the Manor, 20 years younger than the colonel and 20 years past her own prime but still glamourous (Brit spelling, not mine) enough to have a toy-boy on the side. It's alright, they have Col. Cricket's full knowledge and consent (they guy even comes 'round for Christmas!) Still, she's considerate of the colonel enough to have said toy-boy her own age (what a gal!)<br /><br />David McCallum as said toy-boy, equally as pointlessly glamourous as his squeeze. Pilcher couldn't come up with any cover for him within the story, so she gave him a hush-hush job at the Circus.<br /><br />and finally:<br /><br />Susan Hampshire as Miss Polonia Teacups, Venerable Headmistress of the Venerable Girls' Boarding-School, serving tea in her office with a dash of deep, poignant advice for life in the outside world just before graduation. Her best bit of advice: ""I've only been to Nancherrow (the local Stately Home of England) once. I thought it was very beautiful but, somehow, not part of the real world."" Well, we can't say they didn't warn us.<br /><br />Ah, Susan - time was, your character would have been running the whole show. They don't write 'em like that any more. Our loss, not yours.<br /><br />So - with a cast and setting like this, you have the re-makings of ""Brideshead Revisited,"" right?<br /><br />Wrong! They took these 1-dimensional supporting roles because they paid so well. After all, acting is one of the oldest temp-jobs there is (YOU name another!)<br /><br />First warning sign: lots and lots of backlighting. They get around it by shooting outdoors - ""hey, it's just the sunlight!""<br /><br />Second warning sign: Leading Lady cries a lot. When not crying, her eyes are moist. That's the law of romance novels: Leading Lady is ""dewy-eyed.""<br /><br />Henceforth, Leading Lady shall be known as L.L.<br /><br />Third warning sign: L.L. actually has stars in her eyes when she's in love. Still, I'll give Emily Mortimer an award just for having to act with that spotlight in her eyes (I wonder . did they use contacts?)<br /><br />And lastly, fourth warning sign: no on-screen female character is ""Mrs."" She's either ""Miss"" or ""Lady.""<br /><br />When all was said and done, I still couldn't tell you who was pursuing whom and why. I couldn't even tell you what was said and done.<br /><br />To sum up: they all live through World War II without anything happening to them at all.<br /><br />OK, at the end, L.L. finds she's lost her parents to the Japanese prison camps and baby sis comes home catatonic. Meanwhile (there's always a ""meanwhile,"") some young guy L.L. had a crush on (when, I don't know) comes home from some wartime tough spot and is found living on the street by Lady of the Manor (must be some street if SHE's going to find him there.) Both war casualties are whisked away to recover at Nancherrow (SOMEBODY has to be ""whisked away"" SOMEWHERE in these romance stories!)<br /><br />Great drama.",negative
"Of course the plot, script, and, especially casting are strong in the film. So many fine things to see. One aspect I liked especially is the idea of the antagonist--Luzhini's (Turturro's)--ex-mentor working his evil on the sidelines. His chess opponent--an Italian dandy in three piece and cane--turns out to be a real gent, and a truly fine chess player. To his credit the ""opponent"" nobly goes along with the plan at the end to complete the final game for the championship posthumously (Luzhin has taken a flyer out a window--sad, but so releasing to him)by way of the unstable genius' widow (Emily Watson.) In death, then, because of the gallantry of an honorable chess master, Luzhin's defence (which he worked out in a late moment of lucidity) is allowed to be played. The Italian gent commends the play and calls it brilliant. Talk about a dramatic ""end game!""",positive
"The operative rule in the making of this film seems to have been ""never make a 1 minute scene when you can make it a 10 minute scene."" This was a principle set right from the start with an interminably long portrayal of the graduation of the Harvard class of 1870. The point of that scene, I suppose, was to introduce some of the primary figures in the story and give a bit of their background - which is somewhat effective when comparing the idealism of the Harvard graduation ceremony to the realism of life in Johnson County, Wyoming, but it just keeps going and going, and that sets the stage for a film that features repeated stretches of mind-numbing nothingness, made even worse by the fact that I found a significant amount of the dialogue to be almost incoherent. In the end, I couldn't even watch this in one sitting. I got through about half of it and had to set it aside for a couple of days before I could drag myself back to see how it turned out.<br /><br />My reaction to this movie in many ways is a shame, because there are positives here. The performances are generally of a high calibre, especially from Kris Kristofersson as Averill, Christopher Walken as Champion and Isabelle Huppert as Ella. The basic story - interspersed as it is around that ever-present mind-numbing nothingness - is potentially interesting, focusing on the efforts of immigrants to establish themselves in Johnson County and a local cattle company's efforts to stop them by killing a number of them in collaboration with the government and the military. There's also some absolutely breathtaking scenery shots. Having said that, the whole thing could frankly have been done in half the time - and should have been. In the end, all those potential positives are washed out by - again - the mind-numbing nothingness that the movie seems to revolve around. Seriously - 2/10.",negative
"Thanks Jymn Magon, for creating Disney's 2 best cartoons ever. This show has improved very much over the years. As a kid, I didn't like it because I thought it was a rip-off of Ducktales, which was my favorite Disney thing at the time (like Grandmoffromero). Then later on though it was good but not great. But after reading the reviews here, I decided to give it another chance & bought the DVD set & watched the whole pilot the first day I got it, & was very pleasantly surprised. It's still my favorite episode, although the series did live up to it. And by the end of disc 1, I knew this was going to be a top tenner.<br /><br />The characters are so complex & charming. My favorite has got to be Wildcat. He's absolutely hilarious and sweet to boot. My next favorite is Baloo, the best pilot on the show. I can see why 'ol Jymn built the show around him. Then it's Kit Cloudkicker. He & Baloo have the best relationship in the series. After that, Louie. Jim Cummings did a perfect job of impersonating the original voice. After him, Rebecca. She has made me laugh pretty hard, and I do believe she and Baloo eventually marry. And finally(for the heroes), Molly. Although she's my least favorite, I still like her. I think she's a very cute character(much better than Webby from Ducktales). And the villains were very original. Don Karnage & his air pirates always crack me up, Kahn is ice-cold and ruthless, and the Thembrians are always at least amusing.<br /><br />As said before, the stories range from hilarious(Time Waits For No Bear, Romance of Red Chimp) to nothing short of touching(The Old Man & the Seaduck, Paradise Lost), to fun, funny & exciting adventures(In Search of Ancient Blunders & my favorite For Whom the Bell Klangs). These are only a few of my favorite episodes. Anyway, Talespin is Disney's best, aside from Gummi Bears Some reasons for this? GB had a decent amount of my favorite character(Cubbi), while TS didn't have enough of Wildcat. But in the end Talespin remains a classic. BOTTOM LINE- 10/10 6th best cartoon ever.",positive
"When you go at an open air cinema under the Greek summer night you usually don't care what the movie is! Edison started really good with some good effort from the singers-who-want-to-be actors and a once again great Morgan Freeman but... (In a movie there is usually a good start to catch audience,done, a bit boring yet story filling middle of the movie that is more about characters and less about action ,done, and the third part is something really good so that you can remember the movie...) when you see 30 elite police officers (packed with weapons that can demolish a building) shoot at a guy behind a car, fail to hit him even once while he kills all (but 3) and then the guy takes out a flame thrower (to kill the rest 3) ,you realise that the Greek summer sky filled with stars is way too good to be distracted by a movie like this!",negative
